"population","year","accession_name","accession","row","column","num_peds","num_no_fruit","num_berries","num_aborted_flower","num_aborted_berries","total_berry_weight","upright_length","secondary_growth","dry_wt_leaves","berry_length","berry_width","berry_weight","num_seeds","calyx_diam","calyx_lobe_form","calyx_lobe_size","berry_skin","rebud","chimera_LvW","chimera_eccentricity","chimera_solidity","chimera_tortuosity","chimera_umccLogX","chimera_umccLogY"
2,2012,"CNJ02_1_126","R10C10","10","10",3,0.3,1.8,0.4,0.5,3.1744,2.83333333333333,1.75,0.0736,21.33,15.12,1.8604,16.7,2.82,1.8,0.5,1.9,0.9,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766
2,2012,"CNJ02_1_127","R10C11","10","11",4.1,0.3,2.3,0.6,0.9,3.8201,2.59,1.44,0.0578,20.99,15.91,1.9798,21.6,2.65,1,1.7,2.5,0,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_128","R10C12","10","12",3,0.1,1.7,0.7,0.5,4.1331,2.5948,3.295,0.0753,23.65,16.991,2.7177,17.7,3.235,0.6,0.9,2.1,0.7,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845
2,2012,"CNJ02_1_129","R10C13","10","13",3.57142857142857,1,1.42857142857143,0.571428571428571,0.571428571428571,3.5497,3.99125,1.75,0.0871,22.55,16.31,2.1768,16.7,2.75,1.7,0.9,1.1,0.9,1.52455911339997,0.754824037785022,0.989286935379706,90.4096655293983,469.260641239083,441.534754016685
2,2012,"CNJ02_1_13","R8C4","8","4",3.4,0.2,1.9,1,0.3,3.1555,3.81,4.55,0.117,17.68,15.02,1.6201,14.4,2.62,1.4,1.1,1.8,0.3,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_130","R10C14","10","14",3.1,0.3,2,0.4,0.4,3.7548,3.11,3.75,0.0971,20.71,15.97,2.1336,19.4,3.02,1.4,1.7,1.4,0.9,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766
2,2012,"CNJ02_1_131","R10C15","10","15",3,0.555555555555556,2.11111111111111,0.111111111111111,0.222222222222222,3.61788888888889,2.36666666666667,1.6,0.0654444444444444,21.2555555555556,16.2333333333333,2.23644444444444,21.1111111111111,2.85555555555556,1.77777777777778,0.666666666666667,1.77777777777778,0.888888888888889,1.52376951893481,0.754528544185566,0.989284900068394,86.4096655293983,466.488052516843,440.148459655565
2,2012,"CNJ02_1_132","R10C16","10","16",3.2,0.4,2.3,0.3,0.2,5.6583,3.61,2.7,0.0858,24.34,17.55,2.6513,24.6,2.68,0.9,1.6,1.5,0.7,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565
2,2012,"CNJ02_1_133","R10C17","10","17",3.9,0.6,2.4,0.1,0.8,4.4897,4.25,NA,0.0781,21.08,17.22,2.2373,22.4444444444444,2.47,1.6,0.9,1.7,0.7,1.47531048494729,0.735224734276892,0.990871783070609,99.4096655293983,479.657848947482,455.397697627884
2,2012,"CNJ02_1_134","R10C18","10","18",4,0.8,2,1,0.2,3.9529,3.56,3.4,0.0593,20.06,16.71,2.1634,17.7,2.52,2,1.3,2,0.5,1.52574952164046,0.75526844504115,0.989878155914595,104,477.578407405802,451.931961725084
2,2012,"CNJ02_1_135","R10C19","10","19",3.22222222222222,0.888888888888889,1.66666666666667,0.222222222222222,0.444444444444444,3.2188,2.76666666666667,1.5,0.0674,19.56,16.5,1.903,19.1,2.39,1.22222222222222,1,1.5,0.6,1.4657770876924,0.731135780761861,0.990119564799508,118.5,485.896173572522,458.170286350124
2,2012,"CNJ02_1_136","R10C20","10","20",4.3,0.4,2.6,0.4,0.9,5.2926,2.51111111111111,1.7,0.057,19.89,16.75,2.203,20.4,2.38,1.9,0.9,1.5,0.5,1.38619826168848,0.692521195247388,0.989571836346337,101,437.375870933325,436.682723752766
2,2012,"CNJ02_1_137","R10C21","10","21",3.7,0.3,2.6,0.1,0.7,6.5023,2.53333333333333,2.05,0.063,25.92,17.89,3.0201,16.5,2.34,1.5,1.4,1.3,0.7,1.48540815985787,0.739446216158774,0.990427154843631,106,461.636022252924,442.921048377805
2,2012,"CNJ02_1_138","R10C22","10","22",3.3,0.3,1.6,0.5,0.9,2.9297,4.02,1.8,0.0748,19.01,17.17,2.0918,14.2,2.44,1,1.2,2.1,0.3,1.17394706761838,0.523822951532041,0.991525748686683,122,433.910135030526,452.625108905644
2,2012,"CNJ02_1_139","R10C23","10","23",3.9,0.8,1.9,0.9,0.3,3.5729,4.48888888888889,1,0.0778,21.56,17.04,2.4925,17.5,2.57,1.2,1.3,1.2,0.1,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766
2,2012,"CNJ02_1_14","R8C5","8","5",3.5,0.2,2.2,0.5,0.6,3.6946,2.94,2.25,0.0558,17.195,15.66,1.8725,21.3,2.426,1.8,1.2,1.9,0.5,1.28041949138009,0.624538468851901,0.990445251289891,103.704832764699,427.671810405486,438.069018113885
2,2012,"CNJ02_1_140","R10C24","10","24",4.9,1.1,2.3,1.1,0.4,4.3054,2.8,2.6,0.0702,19.35,17.25,2.2469,17.9,3,2,0.5,1.9,0.7,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766
2,2012,"CNJ02_1_141","R10C25","10","25",3.4,0.3,1.7,1.4,0,3.8941,2.88,3.4,0.0837,22.45,17.56,2.4911,17.2,2.95,1.8,1.3,1.5,0.5,1.44876543749112,0.723577772811705,0.989069379080006,98.5,449.159373002845,437.375870933325
2,2012,"CNJ02_1_142","R10C26","10","26",4.5,0.8,1.7,0.8,1.2,4.2658,3.75555555555556,1.63333333333333,0.0865,22.11,17.88,2.8325,26.4,2.49,0.6,1.2,1.1,0.9,1.46725581051598,0.731776750929143,0.990860071130827,84.2951672353009,450.545667363964,435.989576572206
2,2012,"CNJ02_1_143","R10C27","10","27",4.2,0.6,2.5,0.5,0.6,4.4701,2.85,1.7,0.0901,20.81,16.47,2.3033,18.4,2.43,1.5,1.2,1.3,0.8,1.51526786425682,0.751310117128507,0.989630589760207,90.4096655293983,460.942875072364,437.375870933325
2,2012,"CNJ02_1_144","R10C28","10","28",3.6,0,2.2,0.9,0.5,4.2927,3.56,1.2,0.0634,20.2,16.97,2.2234,18.5,2.92,1.5,1.6,1.5,0.5,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565
2,2012,"CNJ02_1_145","R10C29","10","29",3.9,1.3,2.1,0.4,0.1,5.5402,3.69,2.4,0.0926,25.38,18.44,3.0488,19,2.97,1.8,0.9,1.7,0.6,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565
2,2012,"CNJ02_1_146","R10C30","10","30",4.1,0.5,2.3,0.6,0.7,5.443,5.43,NA,0.1057,24.17,18.21,2.9957,28.6,2.78,1.3,1.3,1.4,0.1,1.43136116690901,0.715477581217382,0.989543328643675,102,446.386784280605,438.762165294445
2,2012,"CNJ02_1_147","R10C31","10","31",3.44444444444444,0.555555555555556,2,0.444444444444444,0.444444444444444,4.253,3.28,0.8,0.0709,23.37,16.1,2.2694,17.7,2.78,0.7,1.5,1.9,0.8,1.46725581051598,0.731776750929143,0.990860071130827,84.2951672353009,450.545667363964,435.989576572206
2,2012,"CNJ02_1_148","R10C32","10","32",3.3,1.1,1.8,0.1,0.3,4.3636,3.7,2.225,0.0794,24.369,17.168,2.5948,14.4,2.574,1,1.3,1.1,0.2,1.52455911339997,0.754824037785022,0.989286935379706,90.4096655293983,469.260641239083,441.534754016685
2,2012,"CNJ02_1_149","R10C33","10","33",4.6,1.1,2.5,0,1,6.1992,3.375,1.5,0.1274,22.9,17.3,2.8086,14.1,2.38,1.4,1.1,1.6,0.2,1.40530772782255,0.702597064575,0.989661223866931,99,440.841606836125,434.603282211086
2,2012,"CNJ02_1_15","R8C6","8","6",3.8,0.3,2.3,0.7,0.5,4.7445,3.85,18.3,0.1265,20.65,17.33,2.3856,14.5,2.29,1.6,1.1,1.3,0.4,1.38619826168848,0.692521195247388,0.989571836346337,101,437.375870933325,436.682723752766
2,2012,"CNJ02_1_150","R10C34","10","34",2.8,0.7,1.9,0.1,0.1,3.5944,3.5,0.3,0.0971,22.12,14.72,1.918,6.4,2.89,1.6,0.9,1,1,1.54673319704031,0.762893720654598,0.990919496375429,92.5,483.816732030842,449.852520183405
2,2012,"CNJ02_1_151","R10C35","10","35",3,0.5,1.3,0.5,0.7,2.8562,3.44,0.7,0.0916,24.21,15.72,2.3661,18.9,2.72,0.5,1.1,1.3,0.8,1.51526786425682,0.751310117128507,0.989630589760207,90.4096655293983,460.942875072364,437.375870933325
2,2012,"CNJ02_1_152","R10C36","10","36",2.22222222222222,0.222222222222222,1.44444444444444,0.333333333333333,0.222222222222222,2.246,4.03333333333333,1.4,0.0966666666666667,17.2555555555556,15.3888888888889,1.59333333333333,10.3333333333333,2.46666666666667,1.22222222222222,1.22222222222222,1.22222222222222,0.8,1.35043159287799,0.672051948791291,0.991057096996102,111,444.307342738925,441.534754016685
2,2012,"CNJ02_1_153","R10C37","10","37",2.3,0.4,1.5,0.3,0.1,2.732,3.3425,2,0.0939,20.32,14.92,1.8205,18.6,2.53,1.5,1.1,1.4,1,1.4110708718978,0.705528421020237,0.989852363331172,94,445.693637100045,438.069018113885
2,2012,"CNJ02_1_154","R10C38","10","38",4.7,0.8,2.5,0.7,0.7,5.3599,3.23333333333333,1.975,0.0853,23.17,17.29,2.4456,17.8,2.6,0.4,1.4,1,0.3,1.54556274972372,0.762478524823886,0.98952261210805,90.4096655293983,477.578407405802,446.386784280605
2,2012,"CNJ02_1_155","R10C39","10","39",4.4,0.6,2.3,0.8,0.7,4.7641,3.35,1.65,0.0777,22.79,17.26,2.4657,17.3333333333333,2.68,1.8,1.2,1.1,0.5,1.51728367637216,0.752079379223809,0.990111812580817,94.2048327646991,463.022316614043,438.069018113885
2,2012,"CNJ02_1_156","R10C40","10","40",3.8,0.4,2.5,0.3,0.6,6.6068,3.73,3.675,0.1132,27.28,17.82,3.1401,16.2,2.57,1.6,1.3,1.7,0.8,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845
2,2012,"CNJ02_1_157","R10C41","10","41",3.1,0.8,1.6,0.4,0.3,3.4444,4.05,2.05,0.088,21.51,16.85,2.4553,21,2.64,1.4,1.4,1.6,0.5,1.46725581051598,0.731776750929143,0.990860071130827,84.2951672353009,450.545667363964,435.989576572206
2,2012,"CNJ02_1_16","R8C7","8","7",3.6,0.4,1.6,1.3,0.3,3.7958,3.24,2.76666666666667,0.0633,22.81,17.02,2.4042,16.7,2.88,1.7,1.5,1.3,0.7,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_17","R8C8","8","8",3.7,0.2,2.4,1,0.1,5.5172,3.47,3.76,0.078,21.37,17.73,2.7498,28.3,2.95,1.7,1.2,1.8,0.7,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966
2,2012,"CNJ02_1_18","R8C9","8","9",3.7,0.8,1.9,0.4,0.6,3.8456,2.88,2.65,0.0812,19.1,17.54,2.2911,27.8,2.56,1.6,1.5,1.3,0.7,1.11540927829312,0.442979177334758,0.991229749913829,117.909665529398,417.967749877647,451.238814544524
2,2012,"CNJ02_1_19","R8C10","8","10",4.3,0.4,2.5,0.6,0.8,3.7714,3.2,3.2,0.0713,17.03,15.56,1.8592,13.9,2.58,1.9,1,1.7,0.7,1.23665643102284,0.588314745998762,0.990551602784791,118.295167235301,427.671810405486,443.614195558365
