"year","accession_name","accession","row","column","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight"
2011,"CNJ02_1_200","R44C48","44","48",19.691,16.972,2.004,18.1,5.3,2.1,3.846
2011,"CNJ02_1_201","R44C49","44","49",24.29,20.563,3.262,23,5.5,1.7,5.128
2011,"CNJ02_1_203","R44C51","44","51",26.302,18.821,3.238,18.7,4.4,2.5,6.971
2011,"CNJ02_1_204","R44C52","44","52",21.899,17.959,2.525,19.4,4.55555555555556,2.44444444444444,5.007
2011,"CNJ02_1_207","R45C1","45","1",23.035,18.603,2.728,26.3,3.4,1.6,4.177
2011,"CNJ02_1_21","R8C12","8","12",21.906,17.896,2.279,22.4,7.5,2.5,5.12
2011,"CNJ02_1_22","R8C13","8","13",23.681,17.986,2.445,15.8,3.9,2.2,4.938
2011,"CNJ02_1_225","R45C19","45","19",24.192,17.286,2.403,21.5,4.9,2.8,5.775
2011,"CNJ02_1_226","R45C20","45","20",22.462,18.558,2.685,21.1,3.6,1.7,4.371
2011,"CNJ02_1_228","R45C22","45","22",19.863,15.002,1.614,13,3.6,2,2.593
2011,"CNJ02_1_23","R8C14","8","14",25.11,19.299,3.469,22.6,3.2,2,6.397
2011,"CNJ02_1_235","R45C29","45","29",22.332,17.362,2.258,25.1,4.7,1.9,3.666
2011,"CNJ02_1_24","R8C15","8","15",26.667,18.48,2.741,25,7.1,3.5,7.741
2011,"CNJ02_1_25","R8C16","8","16",25.017,17.722,2.756,23.2,3.8,2.1,5.481
2011,"CNJ02_1_26","R8C17","8","17",21.04,18,2.537,18,5.4,2.5,5.128
2011,"CNJ02_1_27","R8C18","8","18",25.003,19.118,3.195,25.6,6.44444444444444,2.88888888888889,7.862
2011,"CNJ02_1_28","R8C19","8","19",24.974,18.485,3.02,25.5,6.5,3.9,9.48
2011,"CNJ02_1_29","R8C20","8","20",20.353,16.859,2.042,25.6,4.2,1.9,3.548
2011,"CNJ02_1_3","R7C48","7","48",23.73,16.64,2.473,21.9,4.8,2.4,5.074
2011,"CNJ02_1_30","R8C21","8","21",24.36,18.16,2.727,27.2,3.44444444444444,2.11111111111111,4.987
2011,"CNJ02_1_31","R8C22","8","22",24.12,19.15,3.205,23.3,4.2,2.4,6.923
2011,"CNJ02_1_32","R8C23","8","23",25.21,19.17,2.875,29.1,6,3.1,7.469
2011,"CNJ02_1_33","R8C24","8","24",23.297,18.002,2.641,26,4.4,2.3,5.242
2011,"CNJ02_1_34","R8C25","8","25",22.95,18.15,2.399,22.6,4.3,2,4.32
2011,"CNJ02_1_35","R8C26","8","26",21.24,17.11,2.329,24.8,4.7,2.9,5.733
2011,"CNJ02_1_36","R8C27","8","27",20.604,17.5,2.212,21,5,1.7,3.32
2011,"CNJ02_1_37","R8C28","8","28",23.595,17.547,2.712,18.5,8.2,3,7.361
2011,"CNJ02_1_38","R8C29","8","29",25.32,20.47,3.63888888888889,21.4444444444444,3.7,2.1,7.361
2011,"CNJ02_1_39","R8C30","8","30",22.598,18.164,2.957,20.2,4.66666666666667,2,5.402
2011,"CNJ02_1_4","R7C49","7","49",23.25,18.89,2.839,20.3,4,2.7,6.918
2011,"CNJ02_1_40","R8C31","8","31",22.9,18.37,2.817,19.9,7,3,6.74
2011,"CNJ02_1_41","R8C32","8","32",22.84,17.77,2.709,25.2,5.3,2.2,5.312
2011,"CNJ02_1_42","R8C33","8","33",21.985,18.667,2.827,19.4,3.9,1.7,4.544
2011,"CNJ02_1_43","R8C34","8","34",23.139,17.077,2.329,11.8,4.9,2,3.961
2011,"CNJ02_1_44","R8C35","8","35",24.93,17.82,2.988,21.5,4.28571428571429,2.28571428571429,5.705
