"year","accession_name","accession","berry_length","berry_width","berry_weight","num_seeds","num_peds","num_berries","total_berry_weight","row","column"
2012,"CNJ04_21_29","R4C29",19.39,18.33,2.4359,6.2,3.6,1.9,3.9186,"4","29"
2012,"CNJ04_21_3","R4C3",26.38,18.96,3.5569,23.8,3.8,2,6.0174,"4","3"
2012,"CNJ04_21_30","R4C30",21.4777777777778,18.3666666666667,2.74022222222222,20,4.88888888888889,3,6.82244444444444,"4","30"
2012,"CNJ04_21_31","R4C31",23.69,18.81,3.1505,24.6,2.44444444444444,1.77777777777778,4.8079,"4","31"
2012,"CNJ04_21_32","R4C32",20.8,18.63,2.8556,15.1,3,2,5.3088,"4","32"
2012,"CNJ04_21_33","R4C33",19.93,16.57,2.1446,13.9,3.4,2.1,3.8628,"4","33"
2012,"CNJ04_21_34","R4C34",23.68,17.6,2.4494,18.2,4.33333333333333,2.11111111111111,4.0856,"4","34"
2012,"CNJ04_21_35","R4C35",21.76,19.81,2.4001,19.7,4.2,1.5,3.346,"4","35"
2012,"CNJ04_21_36","R4C36",21.69,16.15,2.4192,16.1,3.7,2,4.2611,"4","36"
2012,"CNJ04_21_4","R4C4",19.84,17.05,2.4663,17.7777777777778,4.5,1.7,4.1349,"4","4"
2012,"CNJ04_21_5","R4C5",20.8,15.21,2.1454,9.55555555555556,3.1,1.4,2.7404,"4","5"
2012,"CNJ04_21_6","R4C6",20.55,17.18,2.5612,18.5,4.6,2.3,4.6136,"4","6"
2012,"CNJ04_21_7","R4C7",22.37,17.74,3.0481,17,4.6,2,5.8612,"4","7"
2012,"CNJ04_21_8","R4C8",27.5,17.93,3.6505,22,3.77777777777778,1.55555555555556,5.1748,"4","8"
2012,"CNJ04_21_9","R4C9",20.1666666666667,16.0222222222222,2.0843,9.55555555555556,1.5,1.2,2.2409,"4","9"
2014,"CNJ04_2_1","R3C1",18.35,16.52,2.008,17.1,5.55555555555556,2,3.591,"3","1"
2014,"CNJ04_2_10","R3C10",18.19,17.04,2.2085,14.1,6.22222222222222,2.66666666666667,5.3964,"3","10"
2014,"CNJ04_2_11","R3C11",21.18,17.53,2.4728,19.4,5.1,1.9,4.3659,"3","11"
2014,"CNJ04_2_12","R3C12",19.62,17.78,2.577,20.5,4.6,2.5,5.462,"3","12"
2014,"CNJ04_2_13","R3C13",19.76,15.85,1.9943,19.4,4.3,2,3.7467,"3","13"
2014,"CNJ04_2_14","R3C14",19.31,15.47,1.9018,17.4,5.6,1.7,2.9918,"3","14"
2014,"CNJ04_2_15","R3C15",20,18.25,2.73,19.9,5.3,1.9,4.714,"3","15"
2014,"CNJ04_2_16","R3C16",21.54,17.47,2.6333,22.1,5.4,2.4,5.171,"3","16"
2014,"CNJ04_2_17","R3C17",18.5,17.14,2.195,14.4,4.5,2.9,5.252,"3","17"
2014,"CNJ04_2_18","R3C18",20.01,17.11,2.298,19.9,3.66666666666667,2.88888888888889,5.617,"3","18"
2014,"CNJ04_2_19","R3C19",19.59,16.73,2.3588,14.7,4.33333333333333,2.11111111111111,4.1651,"3","19"
2014,"CNJ04_2_2","R3C2",19.69,16.56,2.1141,14.9,4.55555555555556,2.11111111111111,4.4572,"3","2"
2014,"CNJ04_2_20","R3C20",19.08,15.96,2.0386,22.5,4.3,2.3,4.1351,"3","20"
2014,"CNJ04_2_21","R3C21",20.79,17.21,2.506,23.4,4.8,2.7,5.795,"3","21"
2014,"CNJ04_2_22","R3C22",21.89,17.34,2.688,25.2,2.9,1.5,3.863,"3","22"
2014,"CNJ04_2_23","R3C23",20.41,17.49,2.5356,15.8,4.3,3.1,6.4843,"3","23"
2014,"CNJ04_2_24","R3C24",19.2181818181818,17.9909090909091,2.45909090909091,19.5454545454545,4.36363636363636,2.18181818181818,4.77090909090909,"3","24"
