row,column,accession_name,year,month,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
4,8,CNJ04_21_8,2011,October,691.3,598.2,3.1,13.5,14,7.92,2.6,1.2
4,9,CNJ04_21_9,2011,October,27.6,23.9,2.2,13.4,8,7.04,2.32,
4,10,CNJ04_21_10,2011,October,426.5,386.4,3.1,9.4,26,8.36,2.47,1.18
4,11,CNJ04_21_11,2011,October,656.7,624.7,2.5,4.9,17,7.26,2.52,1.07
4,12,CNJ04_21_12,2011,October,243.1,226.6,2.6,6.8,27,7.04,2.45,1.39
4,13,CNJ04_21_13,2011,October,453.3,443,2.4,2.3,26,8.8,2.29,1.18
4,14,CNJ04_21_14,2011,October,851.7,700,2.5,17.8,17,7.26,2.34,1.55
4,15,CNJ04_21_15,2011,October,305.1,287.5,2.1,5.8,41,8.36,2.4,1.92
4,16,CNJ04_21_16,2011,October,190.3,128.5,2.2,32.5,27,9.46,2.26,1.86
4,17,CNJ04_21_17,2011,October,305.1,265.7,1.9,12.9,15,8.8,2.61,1.45
4,18,CNJ04_21_18,2011,October,515.2,464.8,2.7,9.8,22,8.14,2.47,1.65
4,19,CNJ04_21_19,2011,October,591,573.6,2.9,2.9,24,8.36,2.56,1.21
4,20,CNJ04_21_20,2011,October,744,644.6,2.2,13.3,20,8.36,2.53,1.39
4,21,CNJ04_21_21,2011,October,644.5,616.3,2.5,4.4,23,7.92,2.34,1.33
4,22,CNJ04_21_22,2011,October,581.8,479.8,2.8,17.4,35,7.7,2.51,1.34
4,23,CNJ04_21_23,2011,October,528.9,510.7,2.3,3.4,39,8.36,2.24,1.32
4,24,CNJ04_21_24,2011,October,292.5,256,2.6,12.4,35,8.58,2.53,1.25
4,25,CNJ04_21_25,2011,October,477.2,404,2.9,15.3,12,8.14,2.67,1.49
4,26,CNJ04_21_26,2011,October,378.6,313.4,2.8,17.2,14,9.02,2.62,1.1
4,27,CNJ04_21_27,2011,October,699,582.2,2.3,16.2,20,7.7,2.28,1.28
4,28,CNJ04_21_28,2011,October,462.6,431.4,2.3,6.7,8,8.14,2.66,1.25
4,29,CNJ04_21_29,2011,October,365.6,341.7,2.4,6.4,21,9.24,2.4,1.31
4,30,CNJ04_21_30,2011,October,590.6,570.8,2.7,3.3,36,8.14,2.43,1.12
4,31,CNJ04_21_31,2011,October,349.7,301.2,2.9,13.8,19,7.48,2.79,1.41
4,32,CNJ04_21_32,2011,October,453.4,390.2,2.9,13.7,34,7.92,2.51,1.9
4,33,CNJ04_21_33,2011,October,470.9,410.6,2.6,12.8,23,8.58,2.49,1.18
4,34,CNJ04_21_34,2011,October,723.1,645,1.9,10.8,23,9.02,2.26,1.38
4,35,CNJ04_21_35,2011,October,261.4,219.4,2.1,15.5,45,8.8,2.22,1.46
4,36,CNJ04_21_36,2011,October,239.5,215.2,2.4,9.9,30,7.7,2.66,1.64
3,1,CNJ04_2_1,2012,September,301.9,272.2,2.3,9.4,16,9.7,2.96,1.55
3,2,CNJ04_2_2,2012,September,243.8,204.3,2.7,14.6,7,7.5,2.81,1.87
3,3,CNJ04_2_3,2012,September,221.8,190.7,2.4,12.9,17,8.6,2.82,1.89
3,4,CNJ04_2_4,2012,September,144.6,126.3,2.5,12.2,30,8.8,2.39,1.26
