"","berry_length.2011","berry_length.2012","berry_length.2014","berry_width.2011","berry_width.2012","berry_width.2014","berry_weight.2011","berry_weight.2012","berry_weight.2014","num_seeds.2011","num_seeds.2012","num_seeds.2014","num_peds.2011","num_peds.2012","num_peds.2014","num_berries.2011","num_berries.2012","num_berries.2014","total_berry_weight.2011","total_berry_weight.2012","total_berry_weight.2014"
"num_seeds.2012",0.187587948270828,0.480774721225229,0.270960909580893,0.125817429852952,0.475025077001246,0.123411150058845,0.17603860231886,0.534887751754158,0.239591002252911,0.56774253621129,1,0.466160995936423,0.0363803146972873,0.141185429126646,-0.158483492922606,-0.0188862012158955,0.187890261246179,-0.124645607067502,0.0994833789975955,0.44611294917937,0.0932062556457176
"num_seeds.2014",0.218347818273002,0.25660055286971,0.421696086702498,0.121993505485013,0.158589871608871,0.449398626903277,0.122607648078941,0.287375514841099,0.561057856296956,0.667022265573509,0.466160995936423,1,0.0112767782518728,-0.0738627827222752,0.0324878562509995,-0.00949171535679427,-0.0550853186964866,-0.125259850036467,0.0644431368161273,0.148638557917983,0.266860271084793
"num_peds.2011",-0.112628320835612,-0.00334031467419296,-0.0242759166276737,-0.0250494976590762,0.0713160339152114,-0.075584530845168,-0.0495525744256741,0.0416730739761333,-0.0353829291684945,0.102319664960784,0.0363803146972873,0.0112767782518728,1,0.350886958502169,0.267211887282098,0.446961509315871,0.309219017643576,0.0728285613927286,0.28419021304701,0.226504390058442,0.049467232207917
"num_peds.2012",-0.160934551437266,0.0169670392794854,-0.145285424921176,0.00938531783277732,0.15380975195726,-0.075156003361898,-0.0679720774569278,0.0756904807907499,-0.157812280975585,0.0236516446355319,0.141185429126646,-0.0738627827222752,0.350886958502169,1,0.416671822180968,0.286764069310286,0.626067901416551,0.16022783991723,0.189128976325476,0.468072003846709,0.0488413697745908
"num_peds.2014",-0.272444330398299,-0.181988553453967,-0.234620909612223,0.0378778033749442,0.159161275448867,0.148506844352643,-0.122018844477624,-0.00999906692356094,-0.049538135122524,-0.0244646258867102,-0.158483492922606,0.0324878562509995,0.267211887282098,0.416671822180968,1,0.1282753425016,0.291088198602419,0.250668015646754,0.042509782105076,0.251014077565606,0.188270947819325
"num_berries.2011",0.177249511485678,0.113502796467078,-0.00432005568620036,0.254280918944322,0.0673974234776112,-0.0244346559262101,0.259789133314935,0.0437364119454433,-0.054370793111688,0.197859608320881,-0.0188862012158955,-0.00949171535679427,0.446961509315871,0.286764069310286,0.1282753425016,1,0.293094513504781,0.131016011715234,0.877544662623429,0.247539993714221,0.110390972390273
"num_berries.2012",-0.259294595192259,-0.00434761129205941,-0.214320227930936,-0.0442236287169887,0.243012548472463,0.0249875092246147,-0.14698084290368,0.150268254782506,-0.110714631719482,0.0180414775000601,0.187890261246179,-0.0550853186964866,0.309219017643576,0.626067901416551,0.291088198602419,0.293094513504781,1,0.288073390441734,0.16551514919124,0.768763095811748,0.182239422169698
"num_berries.2014",-0.273296725452643,-0.119782961163215,-0.213088502572527,-0.124019784736706,0.0716643001343818,0.145807718750876,-0.21116426855552,-0.0608132181443269,-0.0242535795128444,-0.258566273150445,-0.124645607067502,-0.125259850036467,0.0728285613927286,0.16022783991723,0.250668015646754,0.131016011715234,0.288073390441734,1,0.0124713689052982,0.173643300497568,0.723991223663558
"total_berry_weight.2011",0.494502985887692,0.243600005929891,0.204175286554847,0.538844023599966,0.158129909417722,0.142696004454662,0.649869086449592,0.242975739750713,0.191597942907563,0.335498703669106,0.0994833789975955,0.0644431368161273,0.28419021304701,0.189128976325476,0.042509782105076,0.877544662623429,0.16551514919124,0.0124713689052982,1,0.299678417915914,0.188155448861686
"total_berry_weight.2012",0.113618902367984,0.422609559431101,0.145728318921784,0.153809500329641,0.58662860485354,0.228814701479932,0.208164540035732,0.697197226767136,0.238663724464945,0.216513410314588,0.44611294917937,0.148638557917983,0.226504390058442,0.468072003846709,0.251014077565606,0.247539993714221,0.768763095811748,0.173643300497568,0.299678417915914,1,0.341493527621043
"total_berry_weight.2014",0.13498590421007,0.169972358453725,0.281374859949873,0.202188065231956,0.291494086566925,0.610147697236839,0.197284487146296,0.335967650866357,0.600045676279195,0.0525291875011542,0.0932062556457176,0.266860271084793,0.049467232207917,0.0488413697745908,0.188270947819325,0.110390972390273,0.182239422169698,0.723991223663558,0.188155448861686,0.341493527621043,1
