accession,accession_name,row,column,year,BBI_UTBM,BBI_TY,BBI_SFY,num_peds,num_no_fruit,num_berries,num_aborted_flower,num_aborted_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,berry_length,berry_width,berry_weight,num_seeds,calyx_diam,calyx_lobe_form,calyx_lobe_size,berry_skin,rebud,chimera_LvW,chimera_eccentricity,chimera_solidity,chimera_tortuosity,chimera_umccLogX,chimera_umccLogY,ULvW,UMFM,TY,SFY,MFM,PFR,Tacy,Brix,TA,PAC
R3C19,CNJ04_2_19,3,19,2014,NA,NA,NA,4.33333333333333,0.111111111111111,2.11111111111111,0.333333333333333,1.77777777777778,4.1651,2.8,NA,NA,19.59,16.73,2.3588,14.7,3.14,1.5,1.375,1.7,0.6,1.40530772782255,0.702597064575,0.989661223866931,99,440.841606836125,434.603282211086,1.1709503885236103,1.972942105263159,311.55,300,2.05,3.45,34,8.35,2.77,1.595
R3C2,CNJ04_2_2,3,2,2011,0.06520171027734505,0.3705220061412487,0.4052835051546392,3.4,1.6,1.5,0.1,0.2,4.471,4.54,2.33333333333333,0.0739,23.7277777777778,18.9177777777778,3.144,21.9,2.924,1.2,1.9,1.33333333333333,0.9,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565,1.2542581933513446,2.9806666666666666,602.55,545.25,2.8,8.65,13,7.38,2.525,1.3399999999999999
R3C2,CNJ04_2_2,3,2,2012,NA,NA,NA,2.8,0.5,1.8,0.1,0.4,5.0947,3.57,2.21666666666667,0.0857,23.92,18.78,3.2666,15,2.41,0.7,1.5,1.6,0.5,1.37822208911398,0.68814576687732,0.989759013210492,99.5,435.296429391646,435.989576572206,1.2736954206602769,2.8303888888888884,276.75,230.75,2.8,13.2,18.5,8.35,2.84,1.885
R3C2,CNJ04_2_2,3,2,2014,NA,NA,NA,4.55555555555556,NA,2.11111111111111,0.222222222222222,0.333333333333333,4.4572,2.91,NA,NA,19.69,16.56,2.1141,14.9,2.81,1,1.5,1.6,0.7,1.44876543749112,0.723577772811705,0.989069379080006,98.5,449.159373002845,437.375870933325,1.1890096618357489,2.111305263157896,205.95,78.3,2.1,NA,19.5,7.8,2.52,1.335
R3C20,CNJ04_2_20,3,20,2011,0.12987500670564892,0.08303249097472924,0.13314494680851066,3.9,0.4,2.1,0.8,0.6,4.055,4.03,1.35,0.086,20.599,16.917,2.235,23,3.045,0.8,1.2,2,0.9,1.48715319306771,0.740164645376648,0.98999197830322,96.9096655293983,466.488052516843,442.921048377805,1.2176508837264288,1.9309523809523808,375,340.85,2.2,8.5,6.5,8.45,2.7,1.31
R3C20,CNJ04_2_20,3,20,2012,NA,NA,NA,3.4,0.5,2.4,0.3,0.2,5.2655,3.86,2.1,0.0972,23.76,17.87,2.7873,22.1,2.66,1.9,1.4,1.1,0.7,1.44876543749112,0.723577772811705,0.989069379080006,98.5,449.159373002845,437.375870933325,1.3296026860660324,2.1939583333333337,317.5,260.75,2.3,16.7,14,9.350000000000001,2.9699999999999998,1.405
R3C20,CNJ04_2_20,3,20,2014,NA,NA,NA,4.3,0.2,2.3,0.4,1.4,4.1351,2.91,NA,NA,19.08,15.96,2.0386,22.5,3.07,1.8,1,1.7,0.2,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766,1.1954887218045112,1.7978695652173917,322.2,315.54999999999995,2,1.95,10.5,7.9,2.71,1.185
R3C21,CNJ04_2_21,3,21,2011,0.19202157091790573,0.2866137421297564,0.30324951199908146,4.11111111111111,0.555555555555556,3,0.444444444444444,0.111111111111111,6.786,3.76,2.28333333333333,0.0982,24.25,17.74,2.772,19.3,3.15,0.7,1.3,2.1,1,1.64178987232125,0.793100078545195,0.986752704498007,112,500.45226436428,459.556580711244,1.366967305524239,2.262,587.5,567.5,2.5999999999999996,3.45,11,7.79,2.585,0.985
R3C21,CNJ04_2_21,3,21,2012,NA,NA,NA,3.33333333333333,1.11111111111111,1.88888888888889,0.333333333333333,0,4.5997,4.3,3.15,0.0877777777777778,22.38,16.97,2.6893,14.1,2.74,0.8,1.3,2.3,0.9,1.48134361297093,0.737760249743566,0.990350877192982,93.2048327646991,454.011403266764,436.682723752766,1.3187978786093106,2.435135294117646,325.75,303.4,2.55,6.699999999999999,13.5,9.35,2.995,1.06
R3C21,CNJ04_2_21,3,21,2014,NA,NA,NA,4.8,0.3,2.7,0.8,1,5.795,3.05,NA,NA,20.79,17.21,2.506,23.4,2.67,0.8,1.8,1.3,0.5,1.44876543749112,0.723577772811705,0.989069379080006,98.5,449.159373002845,437.375870933325,1.2080185938407901,2.146296296296296,352,335.29999999999995,2,4.85,18.5,8.1,2.29,1.07
R3C22,CNJ04_2_22,3,22,2011,0.22953565085003808,0.652014652014652,0.6252164877034985,3.9,1,2,0.3,0.6,6.057,5.1,1,0.1048,26.088,19.125,3.233,26.5,3.083,0.5,0.888888888888889,2.1,0.6,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845,1.3640784313725491,3.0285,157.85000000000002,117.3,2.45,21.9,23.5,8.120000000000001,2.58,1.48
R3C22,CNJ04_2_22,3,22,2012,NA,NA,NA,2.6,0.6,1.6,0.4,0,3.7955,3.56,NA,0.1089,21.84,16.07,2.5099,25.2222222222222,2.82,1.4,0.7,1.9,0.7,1.5173163154766,0.752091803085153,0.990108426859426,87.4096655293983,464.408610975163,439.455312475005,1.359054138145613,2.3721875,33.25,27.05,2.2,17.450000000000003,25.5,8.25,2.825,1.5299999999999998
R3C22,CNJ04_2_22,3,22,2014,NA,NA,NA,2.9,1,1.5,0.1,0.3,3.863,3.96,NA,NA,21.89,17.34,2.688,25.2,3.08,0.6,1.8,1.3,0.4,1.3054580291983,0.642823091549352,0.990868459582338,118.204832764699,460.249727891804,454.011403266764,1.26239907727797,2.5753333333333335,70.3,61.05,2.3,17.400000000000002,23.5,7.5,2.745,1.565
R3C23,CNJ04_2_23,3,23,2011,0.026617737409295437,0.24143961708394693,0.2928765196423189,4.8,0,2.6,1.8,0.4,5.862,2.66,1.85,0.0579,22.01,18.272,2.723,18.4,3.166,0.9,0.7,2,1,1.6009888229415,0.7809336569021,0.99006040217142,97.4096655293983,490.055056655881,452.625108905644,1.20457530647986,2.2546153846153847,674.3499999999999,643.4,2.3,4.85,20,7.9399999999999995,2.425,1.325
R3C23,CNJ04_2_23,3,23,2012,NA,NA,NA,4.7,1.4,2.3,0.6,0.4,6.1826,3.63,2.9,0.1483,23.36,19.05,3.3355,15.6,2.86,1.3,1.2,1.7,0.6,1.41780579902569,0.708893820996909,0.989604279697993,103,440.841606836125,435.989576572206,1.226246719160105,2.6880869565217393,412.05,351.9,2.7,11.95,18,7.85,2.815,1.345
R3C23,CNJ04_2_23,3,23,2014,NA,NA,NA,4.3,0,3.1,0.2,1,6.4843,3.64,1.95,NA,20.41,17.49,2.5356,15.8,2.99,1.5,1.1,1.7,0.8,1.3388020486639,0.664895476653669,0.990827441238295,100.5,438.069018113885,440.148459655565,1.166952544311035,2.0917096774193547,379.65,351.05,2.05,7.5,25.5,8.25,2.36,1.225
R3C24,CNJ04_2_24,3,24,2011,0.002395009957275858,0.22513868218103095,0.2276103101791175,4,0.1,2,1,0.9,5.713,4.06,1.95,0.0673,23.515,19.916,3.224,22.6,3.245,0.4,1.1,1.7,0.4,1.29718909958221,0.63695906231654,0.990626200537841,117,454.704550447324,452.625108905644,1.1807089777063668,2.8565,452.75,421.5,2.8,6.75,23,8.120000000000001,2.4349999999999996,1.42
R3C24,CNJ04_2_24,3,24,2012,NA,NA,NA,3.8,0.8,2.3,0.6,0.1,5.6857,3.93,1.88,0.0838,20.75,18.71,2.8762,20.5,3.09,0.9,1.5,1.4,0.7,NA,NA,0.9907874617737,119,420.740338599887,452.625108905644,1.109032602886157,2.47204347826087,286.35,265.2,2.8499999999999996,6.9,33.5,8.45,2.625,1.435
R3C24,CNJ04_2_24,3,24,2014,NA,NA,NA,4.36363636363636,0.818181818181818,2.18181818181818,0.454545454545455,0.909090909090909,4.77090909090909,2.86363636363636,NA,NA,19.2181818181818,17.9909090909091,2.45909090909091,19.5454545454545,3.09090909090909,0.545454545454545,1.63636363636364,1.27272727272727,0.0909090909090909,1.11816714637344,NA,0.990731520490234,122.5,426.285516044366,454.011403266764,1.0682162708438592,2.186666666666668,396.35,381.6,2.3,3.3499999999999996,35,7.95,2.415,1.545
R3C25,CNJ04_2_25,3,25,2011,0.12140957446808509,0.32543425744852184,0.32377106252611054,4.7,1,2.9,0.6,0.2,8.433,3.45,1.7,0.0756,26.012,19.297,3.535,23,2.878,1.4,1.5,1.6,0.8,1.47806542701179,0.73638747702764,0.989025644933887,90.1144982940974,460.249727891804,440.148459655565,1.3479815515365083,2.9079310344827585,576.1,475.29999999999995,2.9,16.35,25,7.58,2.6550000000000002,1.38
R3C25,CNJ04_2_25,3,25,2012,NA,NA,NA,3.66666666666667,0.555555555555556,2.22222222222222,0.444444444444444,0.444444444444444,6.607,5.2,1.25,0.1147,25.54,19.33,3.6095,21.2222222222222,3.34,1.6,1.2,1.8,0.6,1.46799202309275,0.732094940490981,0.990749942664934,80.5,451.238814544524,436.682723752766,1.321262286601138,2.973150000000003,293.2,242.8,3.25,15.15,25.5,7.35,2.55,1.62
R3C25,CNJ04_2_25,3,25,2014,NA,NA,NA,4.6,0.9,3.1,0.1,0.5,7.6599,4.17,NA,NA,22.53,17.81,2.7711,20.8,2.7,1.1,1,1.5,0.2,1.51410822745402,0.750865832063099,0.991073131652234,98,469.953788419643,445.693637100045,1.265019651880966,2.4709354838709676,478.9,469.15,2.5,2.1,35.5,8.05,2.625,1.355
R3C26,CNJ04_2_26,3,26,2011,0.009445740806116924,0.17972692981990115,0.1644387863356673,5.2,1,2.2,1.5,0.5,5.752,3.55,NA,0.0642,23.057,19.097,3,21.6,2.905,1.2,1.1,1.3,0.7,1.55970264097694,0.767417376822317,0.989861259338314,89.2048327646991,484.509879211402,449.159373002845,1.2073624129444414,2.6145454545454543,555.15,411.6,2.6,24.9,10,8.120000000000001,2.2800000000000002,1.24
R3C26,CNJ04_2_26,3,26,2012,NA,NA,NA,3.9,0.3,2.1,1.3,0.2,5.8617,4.55,2.05,0.0843,22.48,17.83,2.9344,21.4,2.78,1.3,1,1.7,0.5,1.49815262191294,0.744619894480314,0.989215760993827,89.4096655293983,459.556580711244,440.148459655565,1.260796410544027,2.791285714285714,386,295.35,2.8,22.85,19.5,9.2,2.64,1.105
R3C26,CNJ04_2_26,3,26,2014,NA,NA,NA,5.5,0.4,2.3,0.5,NA,4.592,3.58,1,NA,21.12,16.58,2.348,16.9,2.94,0.6,0.7,1.2,0.5,1.52425188681813,0.754709131280887,0.98936170212766,86.4096655293983,466.488052516843,440.148459655565,1.2738238841978289,1.9965217391304348,321.65,306.7,2.1500000000000004,4.75,17.5,7.9,2.255,1.05
R3C27,CNJ04_2_27,3,27,2011,0.13129408595814887,0.23556668753913576,0.24758892060797777,3.88888888888889,0.333333333333333,2.66666666666667,0.666666666666667,0.222222222222222,6.72,2.63,1.175,0.0514,21.502,18.397,2.775,19.9,3.114,1,1,2,0.5,1.66372368759721,0.799202888915253,NA,123.204832764699,499.065970003161,457.477139169564,1.168777518073599,2.519999999999997,493.29999999999995,404.25,2.4000000000000004,17.15,31.5,8.58,2.18,1.43
R3C27,CNJ04_2_27,3,27,2012,NA,NA,NA,3.2,1.2,1.6,0.3,0.1,5.1602,3.57,2.1375,0.092,22.17,18.85,3.191,19.1,2.97,1.8,1.4,2.4,0.6,1.41035404546152,0.705166431933139,0.989619771863118,95,435.296429391646,433.216987849966,1.1761273209549072,3.225125,305.20000000000005,243.8,3.2,19.049999999999997,29,8.45,2.42,1.21
R3C27,CNJ04_2_27,3,27,2014,NA,NA,NA,5.3,0.3,2.3,1.4,1.3,5.1895,2.43,1.2,NA,18.64,18.01,2.4356,24.3,2.83,2,0.9,1.6,0,NA,NA,0.989289934062583,124.704832764699,404.104806266448,453.318256086204,1.0349805663520266,2.256304347826087,441.8,431.15,2.35,2.3,29.5,8.25,2.225,1.2799999999999998
R3C28,CNJ04_2_28,3,28,2011,0.2385240984440614,0.39538839538839543,0.4629292561582332,4.5,1,3,0.4,0.1,8.155,2.75,2.25,0.0702,24.296,19.154,3.225,27.1,2.888,2,0,1.9,0.9,1.49474016985014,0.743251066346965,0.989569005043558,97.6144982940974,474.805818683563,449.159373002845,1.2684556750548188,2.7183333333333333,369.15,301.4,2.6,17.4,20.5,7.91,2.545,1.62
R3C28,CNJ04_2_28,3,28,2012,NA,NA,NA,3.9,1.2,2.1,0.4,0.2,5.0139,3.13,2.41666666666667,0.0904,21.8,18.23,2.7963,21.4,2.85,1.6,0.8,1.9,0.4,1.38619826168848,0.692521195247388,0.989571836346337,101,437.375870933325,436.682723752766,1.1958310477235325,2.3875714285714285,159.95,110.65,2.2,27.8,30,7.9,2.76,1.94
R3C28,CNJ04_2_28,3,28,2014,NA,NA,NA,4.5,0.5,2.4,0.7,0.9,4.6675,2.64,NA,NA,19.36,16.83,2.1291,24.1,2.81,0.9,0.6,1.6,0.6,1.38839407711479,0.69370773925572,0.99033059430537,116,449.159373002845,440.841606836125,1.150326797385621,1.944791666666667,386,375.29999999999995,2.05,2.6500000000000004,23.5,8.05,2.475,1.53
