year,accession_name,accession,row,column,berry_length,berry_width,berry_weight,num_seeds,num_peds,num_berries,total_berry_weight,upright_length,secondary_growth,dry_wt_leaves,ULvW,UMFW,TY_September,TY_October,SFY_September,SFY_October,MFW_September,MFW_October,PFR_September,PFR_October,Tacy_September,Tacy_October,Brix_September,Brix_October,TA_September,TA_October,PAC_September,PAC_October
2011,CNJ04_21_19,R4C19,4,19,23.483,18.067,2.826,25.1,4.3,2,5.423,2.89,1.675,0.0701,1.2997730669175847,2.7115,325.3,591,313.2,573.6,2,2.9,2.6,2.9,9,24,9,8.36,2.7,2.56,1.35,1.21
2011,CNJ04_21_2,R4C2,4,2,20.349,18.636,2.501,20.8,3.9,2.1,4.819,4.24444444444444,3.525,0.1085,1.0919188667095945,2.294761904761905,629.5,386.8,611.5,338.8,2.1,2,2.9,12.4,8,19,8.4,8.14,2.5,2.29,1.39,1.21
2011,CNJ04_21_20,R4C20,4,20,19.919,17.456,2.528,20.1,4.7,2,4.615,4.27,1.425,0.0722,1.1410976168652613,2.3075,755.1,744,718.8,644.6,2.3,2.2,4.6,13.3,13,20,7.3,8.36,2.49,2.53,1.22,1.39
2011,CNJ04_21_21,R4C21,4,21,19.049,16.139,1.997,16.4,4.8,1.4,2.657,2.81,1.7,0.0464,1.18030856930417,1.897857142857143,563.5,644.5,521.1,616.3,2.3,2.5,7.5,4.4,12,23,7.7,7.92,2.46,2.34,1.28,1.33
2011,CNJ04_21_22,R4C22,4,22,24.76,18.273,2.937,21.2,2.9,1.7,4.607,3.25,1.5,0.0553,1.3550046516718657,2.7100000000000004,702.7,581.8,646.4,479.8,2.6,2.8,8,17.4,19,35,7.7,7.7,2.51,2.51,1.32,1.34
2011,CNJ04_21_23,R4C23,4,23,23.759,19.028,2.951,19.6,4.8,3.3,8.1,3.55,1.56666666666667,0.0934,1.2486335926003784,2.4545454545454546,360.3,528.9,346.3,510.7,2.3,2.3,3.9,3.4,19,39,8.8,8.36,2.32,2.24,1.4,1.32
2011,CNJ04_21_24,R4C24,4,24,21.988,17.193,2.503,12,4.2,1.6,3.686,2.7,NA,0.0457,1.2788925725585993,2.30375,279.3,292.5,275,256,2.3,2.6,1.5,12.4,6,35,7.9,8.58,2.56,2.53,1.39,1.25
2011,CNJ04_21_25,R4C25,4,25,22.755,19.016,2.937,23,3.2,1.8,4.939,3.2,NA,0.0599,1.196623895666807,2.743888888888889,410.4,477.2,374.7,404,2.6,2.9,8.6,15.3,7,12,6.4,8.14,2.33,2.67,1.24,1.49
2011,CNJ04_21_26,R4C26,4,26,22.668,18.643,2.949,21.2,4.7,2.3,5.913,4.56,1.65,0.0839,1.2158987287453735,2.5708695652173916,498,378.6,437.5,313.4,2.7,2.8,11.8,17.2,4,14,7.7,9.02,2.51,2.62,1.19,1.1
2011,CNJ04_21_27,R4C27,4,27,21.632,17.755,2.61,22.8,4,2.44444444444444,5.076,2.21,0.7,0.0516,1.2183610250633625,2.076545454545458,519.9,699,506.2,582.2,2.1,2.3,2.5,16.2,12,20,8.4,7.7,2.18,2.28,1.38,1.28
2011,CNJ04_21_28,R4C28,4,28,20.199,18.251,2.517,19.5,2.8,1.7,3.876,3.83,NA,0.0893,1.1067338775957483,2.28,241,462.6,236.3,431.4,2.1,2.3,1.7,6.7,20,8,8.4,8.14,2.51,2.66,1.64,1.25
2011,CNJ04_21_29,R4C29,4,29,20.503,18.639,2.81,8.1,5,2.1,5.129,3.21,1.38,0.065,1.100005365094694,2.442380952380952,524.3,365.6,517.5,341.7,2.6,2.4,1.3,6.4,8,21,7.3,9.24,2.64,2.4,1.26,1.31
2011,CNJ04_21_3,R4C3,4,3,22.669,16.715,2.399,23.7,3.7,1.7,3.808,1.93,1.5,0.0341,1.3562069997008674,2.2399999999999998,480.2,377.5,457.7,344.3,2.2,2.4,4.4,8.8,22,30,8.1,8.58,2.41,2.28,1.34,1.5
2011,CNJ04_21_30,R4C30,4,30,21.394,19.141,2.9,29.3,5,3.5,8.7,5.74,2.22,12.9984,1.1177054490361005,2.4857142857142853,598.6,590.6,587.3,570.8,2.4,2.7,1.9,3.3,20,36,7.9,8.14,2.5,2.43,1.26,1.12
