year,accession_name,accession,row,column,BL,BW,BM,NS,NP,NB,TBM,TY,SFY,MFW,PFR,Tacy,Brix,TA,PAC
2011,CNJ02_1_147,R10C31,10,31,22.547,17.718,2.489,21.9,5.33333333333333,2.66666666666667,4.77,235.10000000000002,122.25,1.85,57.15,32.5,7.9,2.21,NA
2011,CNJ02_1_148,R10C32,10,32,23.805,17.189,2.367,16.6,5.8,1.7,3.732,540.05,368.9,2.05,31.200000000000003,30,8.8,2.29,1.845
2011,CNJ02_1_149,R10C33,10,33,23.23,18.98,2.954,21.8,4.1,2.1,5.787,447.29999999999995,298.55,2.5,33.65,28.5,9.15,2.365,1.475
2011,CNJ02_1_15,R8C6,8,6,22.507,18.641,2.642,18.9,5.4,2.9,6.482,380.3,327.95,2,13.55,15.5,9.15,2.215,1.3199999999999998
2011,CNJ02_1_150,R10C34,10,34,25.56,17.62,2.87,18.1111111111111,4.11111111111111,2.22222222222222,6.059,456.4,243.3,2.4,39.55,33.5,8.600000000000001,2.46,1.51
2011,CNJ02_1_151,R10C35,10,35,25.09,17.572,2.673,22.1,5.2,2.3,4.855,474.95,353.75,2.2,28.05,30,8.8,2.335,1.9449999999999998
2011,CNJ02_1_152,R10C36,10,36,18.865,18.03,2.24,24.9,4,2.2,4.291,603.6,478.75,2.1,22.35,20.5,8.15,2.605,1.615
2011,CNJ02_1_153,R10C37,10,37,23.922,18.057,2.668,28.6,4.2,2.2,5.213,295,210.20000000000002,2.2,33.05,21,9,2.41,1.4449999999999998
2011,CNJ02_1_154,R10C38,10,38,22.276,18.285,2.587,16.4,4.44444444444444,2.44444444444444,5.61,522.2,393.45,2.1500000000000004,25.299999999999997,31,9.6,2.22,1.42
2011,CNJ02_1_155,R10C39,10,39,21.818,16.68,2.086,19.6,4.6,2.2,4.229,320,271.8,2,13.700000000000001,34.5,8.45,2.34,1.9
2011,CNJ02_1_156,R10C40,10,40,25.3472727272727,17.9081818181818,2.79,19.2727272727273,4.3,2,5.30545454545455,454.35,310,2.55,38,30.5,8.649999999999999,2.24,1.71
2011,CNJ02_1_157,R10C41,10,41,23.093,18.193,2.746,25.6,3.8,2,4.894,293,222.85000000000002,2.25,23.200000000000003,23.5,8.1,2.385,2.19
2011,CNJ02_1_16,R8C7,8,7,24.736,18.748,2.874,25.2,5.9,2.2,5.283,458.15000000000003,391.1,2.5,13.35,17.5,8.45,2.525,1.365
2011,CNJ02_1_167,R44C15,44,15,24.093,18.369,2.677,22.1,4.22222222222222,2,4.909,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_17,R8C8,8,8,24.566,19.977,3.454,29.8,4.2,2.6,7.129,246.5,178.25,2.75,26.400000000000002,34.5,8.8,2.325,1.58
2011,CNJ02_1_171,R44C19,44,19,24.433,18.03,2.683,18.3,3.8,2,4.737,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_172,R44C20,44,20,20.936,16.542,2.122,16.5,4.4,2.2,4.148,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_177,R44C25,44,25,19.012,17.423,2.178,23.9,4.5,2.5,4.852,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_18,R8C9,8,9,19.73,17.56,2.178,26.2,5,1.5,3.101,472.20000000000005,445.5,2.25,5.65,19.5,8.7,2.255,1.44
2011,CNJ02_1_181,R44C29,44,29,26.414,18.437,3.078,30.3,4.6,2.3,6.388,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_182,R44C30,44,30,25.605,19.204,3.214,26.5,3.6,2.3,6.562,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_186,R44C34,44,34,23.585,17.895,2.475,19.3,4.7,2.9,6.184,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_187,R44C35,44,35,21.479,17.436,2.373,20.7,5,2.5,5.251,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_188,R44C36,44,36,22.689,16.773,2.233,19.5,3.4,2.6,5.089,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_189,R44C37,44,37,21.441,17.16,2.032,17,4.5,2.1,3.974,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_19,R8C10,8,10,17.48,16.06,1.706,13.9,5.2,2.3,3.146,417.15,316.65,1.6,22.65,33.5,9.25,2.06,1.9249999999999998
2011,CNJ02_1_191,R44C39,44,39,22.001,16.627,2.108,16.6,4.9,2.1,4.164,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_193,R44C41,44,41,24.497,16.884,2.433,16.8,5.5,3.1,6.297,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_198,R44C46,44,46,22.118,18.398,2.559,20.9,4.77777777777778,1.88888888888889,4.934,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_2,R7C47,7,47,21.765,17.795,2.579,18.7,5.11111111111111,2.11111111111111,5.534,699.4000000000001,603.9,2.3499999999999996,13.649999999999999,33.5,8,2.625,1.405
2011,CNJ02_1_20,R8C11,8,11,23.768,18.159,2.555,28.2,5.6,3.3,7.109,548.15,449.65,2.0999999999999996,17.8,12.5,7.6,2.5700000000000003,1.895
2011,CNJ02_1_200,R44C48,44,48,19.691,16.972,2.004,18.1,5.3,2.1,3.846,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_201,R44C49,44,49,24.29,20.563,3.262,23,5.5,1.7,5.128,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_203,R44C51,44,51,26.302,18.821,3.238,18.7,4.4,2.5,6.971,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_204,R44C52,44,52,21.899,17.959,2.525,19.4,4.55555555555556,2.44444444444444,5.007,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_207,R45C1,45,1,23.035,18.603,2.728,26.3,3.4,1.6,4.177,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_21,R8C12,8,12,21.906,17.896,2.279,22.4,7.5,2.5,5.12,558.4000000000001,442.4,1.9,20.4,28.5,8.45,2.415,1.525
2011,CNJ02_1_22,R8C13,8,13,23.681,17.986,2.445,15.8,3.9,2.2,4.938,208.6,108.30000000000001,1.9,49.85,27.5,9.350000000000001,2.255,1.065
2011,CNJ02_1_225,R45C19,45,19,24.192,17.286,2.403,21.5,4.9,2.8,5.775,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_226,R45C20,45,20,22.462,18.558,2.685,21.1,3.6,1.7,4.371,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_228,R45C22,45,22,19.863,15.002,1.614,13,3.6,2,2.593,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_23,R8C14,8,14,25.11,19.299,3.469,22.6,3.2,2,6.397,408.8,248.95,2.7,40.05,25,8.7,2.39,1.7850000000000001
2011,CNJ02_1_235,R45C29,45,29,22.332,17.362,2.258,25.1,4.7,1.9,3.666,NA,NA,NA,NA,NA,NA,NA,NA
2011,CNJ02_1_24,R8C15,8,15,26.667,18.48,2.741,25,7.1,3.5,7.741,571.55,456.9,2.25,19.3,23,8.4,2.2199999999999998,1.435
