Day#,2011,2012,2013,2014,
244,4514.85,4626.17,4167.02,3911.12,
245,4541.57,4659.08,4200.07,3948.01,
246,4570.47,4692.3,4227.56,3979.23,
247,4603.05,4726.56,4255.25,4008.74,
248,4636.73,4763.39,4275.02,4042.15,
249,4660.99,4795.03,4295.63,4079.57,
250,4694.43,4828.5,4326.96,4107.83,
251,4726.39,4862.36,4350.95,4134.19,
252,4759.1,4890.07,4385,4162.83,
253,4791.25,4913.28,4423.73,4190.04,
254,4819.48,4933.38,4460.66,4220.01,
255,4850.17,4955.25,4489.42,4247.38,
256,4881.14,4978.12,4507.01,4269.58,
257,4915.06,5002.23,4524.04,4287.02,
258,4943.09,5025.76,4543.87,4302.52,
259,4959.15,5045.6,4558.32,4321.96,
260,4975.7,5062.66,4571.75,4340.35,
261,4995.18,5094.78,4584.6,4358.26,
262,5012.47,5118.1,4606.65,4375.69,
263,5033.97,5137.78,4631.26,4396.79,
264,5058.85,5159.52,4655,4423.23,
265,5090.65,5185.16,4669.28,4446.69,
266,5120.67,5205.82,4682.94,4460.68,
267,5151.32,5218.55,4699.12,4478.79,
268,5181.65,5234.71,4715.18,4499.17,
269,5211.49,5263.9,4733.28,4519.19,
270,5239.7,5291.18,4754.14,4541.26,
271,5270.67,5321.45,4771.24,4564.55,
272,5299.53,5341.31,4787.78,4588.03,
273,5324.04,5359.52,4808.52,4610.93,
274,5343.32,5377.32,4835.32,4631.48,
275,5355.3,5403.78,4860.34,4650.85,
276,5364.16,5438.23,4889.64,4669.02,
277,5376.3,5468.38,4917.63,4690.21,
278,5396.17,5494.64,4947.71,4698.51,
279,5409.33,5519.37,4975.69,4712.81,
280,5420.68,5526.93,4991.53,4737.97,
281,5436.41,5533.12,5007.55,4762.33,
282,5458.16,5547.42,5026.48,4777.8,
283,5480.4,5566.73,5048,4788.14,
284,5503.95,5575.65,5070.22,4800.23,
285,5525.31,5583.67,5089.43,4809.98,
286,5549.68,5589.34,5103.93,4825.08,
287,5575.74,5605.99,5118.04,4851.76,
288,5593.59,5632.21,5138.89,4880.51,
289,5611.59,5645.2,5163.13,4903.17,
